STATES,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
ANDAMAN & NICOBAR ISLANDS,49.2,27.6,30,72.2,355.6,471.4,397.5,400.5,431.3,289.5,233,153.3
ANDHRA PRADESH,7.4,13.1,13.7,26.4,62.8,123.5,174,175.5,182.2,185.9,77.3,11.8
ARUNACHAL PRADESH,48.1,93.1,155.4,265.2,364.1,657.9,708.3,500.2,433.4,199.2,36.5,24.8
ASSAM,17.4,32.2,80.4,205.2,343.8,512.3,500.5,405.2,310.7,154.9,27.7,9.1
MEGHALAYA,17.4,32.2,80.4,205.2,343.8,512.3,500.5,405.2,310.7,154.9,27.7,9.1
BIHAR,13.5,14.4,10.1,16.6,52.5,175.6,327.6,301.2,219.3,63.2,7.4,3.8
CHHATTISGARH,14.3,19.5,15.5,16.2,21.4,198.6,400.4,391.5,216.4,63.7,12.1,5.4
DELHI,17.2,17.3,12.5,7.4,14.6,48.7,152.7,152.2,89,13.2,3.4,7.4
GOA,1.3,0.5,1.1,4.4,34.6,687.9,1070.8,683.9,347.6,112.8,25.4,4.6
GUJARAT,1.8,1.2,1.2,1.1,6.1,123.7,351.1,261.3,146.1,20.9,7.2,1.4
HARYANA,17.2,17.3,12.5,7.4,14.6,48.7,152.7,152.2,89,13.2,3.4,7.4
HIMACHAL PRADESH,84.8,89.5,101.5,62.6,59,90.6,283.2,275.1,131.8,32.1,17.1,40.5
JAMMU & KASHMIR,103.5,114.4,131.2,93.7,68.3,64.1,182,181.2,86.9,34,24.4,56.6
JHARKHAND,17.9,24.5,18.8,19.2,48.1,194.6,339.3,326.7,228.9,79.9,12,5.1
KARNATAKA,3,4.1,9.2,41.1,91.9,140.9,232.4,173.3,136.9,140.3,54,11.7
KERALA,12.4,15.2,37,109.3,233.1,654.2,707.2,419.8,242.8,295.3,164.1,39.9
LAKSHADWEEP,27.8,16.1,14.6,44.8,167.7,329.4,283.4,204.6,162.3,168.3,125.4,61.1
MAHARASHTRA,3.2,1.4,3.2,9.3,23.4,148.4,249.7,184.8,157.5,70.6,26.6,6
MADHYA PRADESH,9,5.9,4.8,2.3,7.9,110.1,298.6,286.6,162.1,28.6,12.9,6.4
MANIPUR,14.2,37.8,79.4,172.2,292.8,452,444.5,414.4,316.8,177.8,48.6,12.9
MATATHWADA,5.1,4.4,6.4,7.4,16.1,139,181.4,167.2,181.1,59.2,23.2,7.5
MIZORAM,14.2,37.8,79.4,172.2,292.8,452,444.5,414.4,316.8,177.8,48.6,12.9
NAGALAND,14.2,37.8,79.4,172.2,292.8,452,444.5,414.4,316.8,177.8,48.6,12.9
ORISSA,12.2,20.2,21.7,33.7,65.1,211.5,351.7,356.3,239.9,113.2,28.5,5.6
PUNJAB,25.3,26.7,23.6,12.3,14.2,45.3,171.5,159.2,86.6,14.2,4.2,13
RAJASTHAN,6.3,5.3,4.1,3,10,63,222.8,216.1,97.5,14.7,5.1,3.8
SIKKIM,14.3,23.1,42.8,110.2,269,539.8,651.6,522.5,423.9,146.1,16.1,6.1
TAMIL NADU,24.7,13.6,19.7,44.6,69.7,52.1,72.5,95.4,112.4,182.9,177,81.9
TELANGANA,7.8,9.7,12.2,17.7,25.4,141.8,247.2,215.3,176.4,74.4,20.5,5.3
TRIPURA,14.2,37.8,79.4,172.2,292.8,452,444.5,414.4,316.8,177.8,48.6,12.9
UTTAR PRADESH,17.4,17.6,11.1,6.2,12.4,76.9,249.2,254.6,149.9,29.3,4.1,7.1
UTTARAKHAND,54,62.5,57.5,35,56,160.8,390,382.4,199.2,40,8.5,22.4
WEST BENGAL,12.6,22.8,29.6,44.5,107.6,247,325.5,310.5,246.1,116.1,22.1,5.7
